k_retained,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
10,37.90402135007519,-241.9643623127403,542.4287585162905,347.70384391385556,-931.4888458835162,518.0622769833376,163.41998299131103,275.31790157864845,736.1988589046842,48.670657431965104
9,,-236.64958835592597,542.7995084860544,354.2114377558724,-936.3505889222412,528.7965917886162,167.80041416009303,270.39651439462654,744.4474286720935,53.350483498105554
8,,-233.75468622882147,550.7443645290009,363.791753233456,-947.8231330157356,541.5857962133584,172.2505882397556,277.7410723609262,761.9211774304872,
7,,-235.36422370389914,551.8664477338698,362.3561138364244,-660.643160269163,343.34808932986056,,185.14076404296182,664.7745905718922,
6,,-215.2674229584408,557.3141667336836,350.1786673005891,-851.5157339412215,591.093314747766,,,803.1212845263286,
5,,,597.8927385532116,306.6479129906197,-655.5606121726574,409.6221841627799,,,728.6436470018971,
4,,,691.4601019400762,,-592.9778741410817,362.95032278661665,,,783.1685383201022,
3,,,737.6855944441158,,-228.33988947478915,,,,680.2246532882865,
2,,,732.1090212251324,,,,,,562.2265353306877,
1,,,998.5776891375593,,,,,,,
